Level,Code
0,CCM_DIAGNOSTIC
1,LEFT_FRONT_DIAGNOSTIC
2,RIGHT_FRONT_DIAGNOSTIC
3,LEFT_REAR_DIAGNOSTIC
4,RIGHT_REAR_DIAGNOSTIC
5,LEFT_TAG_DIAGNOSTIC
6,RIGHT_TAG_DIAGNOSTIC
7,LVIT_POSITION
8,LVIT_VELOCITY
9,TEMPERATURE_SENSOR
10,SPEED_SENSOR 
11,PITCH_SENSOR
12,ROLL_SENSOR 
13,COMPRESSION
14,REBOUND
15,CANBUS
